emotion,type,required,optional
happy,basic,"12,25",6
sad,basic,"4,15","1,6,11,17"
fearful,basic,"1,4,20,25","2,5,26"
angry,basic,"4,7,24","10,17,23"
surprised,basic,"1,2,25,26",5
disgusted,basic,"9,10,17","4,24"
happily surprised,compound,"1,2,12,25","5,26"
happily disgusted,compound,"10,12,25","4,6,9"
sadly fearful,compound,"1,4,20,25","2,5,6,15"
sadly angry,compound,"4,15","6,7,11,17"
sadly surprised,compound,"1,4,25,26","2,6"
sadly disgusted,compound,"4,10","1,6,9,11,15,17,25"
fearfully angry,compound,"4,20,25","5,7,10,11"
fearfully surprised,compound,"1,2,5,20,25","4,10,11,26"
fearfully disgusted,compound,"1,4,10,20,25","2,5,6,9,15"
angrily surprised,compound,"4,25,26","5,7,10"
angrily disgusted,compound,"4,10,17","7,9,24"
disgustedly surprised,compound,"1,2,5,10","4,9,17,24"
appalled,compound,"4,10","6,9,17,24"
hatred,compound,"4,10","7,9,17,24"
awed,compound,"1,2,5,25","4,20,26"