emotion,emo_type,number,required,alternatives,special
anger,associations,1,4+22+23+24,"5,7",
contempt,associations,1,12+14,,"U12, U14"
disgust,associations,1,9,,
disgust,associations,2,9,"25,26",
disgust,associations,3,10,,
disgust,associations,4,10,"25,26",
disgust,associations,5,9+10,,
disgust,associations,6,9+10,"25,26",
fear,associations,1,1+2+4+5+20,,
fear,associations,2,1+2+4+5+20,"25,26",
happiness,associations,1,6+12,,
joy,associations,1,6+12,,
sadness,associations,1,1+15,,
sadness,associations,2,1+4+15,,
sadness,associations,3,1+15+17,,
sadness,associations,4,1+4+15+17,,
surprise,associations,1,1+2+5,"26,26",